Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SFDC-TestSuite,Chrome 70.0.3538.110,,2018-12-09 09:54:20,2018-12-09 10:06:24,12m - 4.166s,PASSED
,,,,,,
Test Cases/TC-001,Chrome 70.0.3538.110,Login to developer.salesforce.com,2018-12-09 09:54:20,2018-12-09 09:54:36,16.179s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-09 09:54:22,2018-12-09 09:54:26,4.650s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2018-12-09 09:54:26,2018-12-09 09:54:27,0.287s,PASSED
"navigateToUrl(""https://developer.salesforce.com/"")",Chrome 70.0.3538.110,,2018-12-09 09:54:27,2018-12-09 09:54:32,5.478s,PASSED
PageTitle = getWindowTitle(),Chrome 70.0.3538.110,,2018-12-09 09:54:32,2018-12-09 09:54:32,0.063s,PASSED
"verifyMatch(PageTitle, ""Salesforce Developers | API Documentation, Developer Forums & More"", false)",Chrome 70.0.3538.110,,2018-12-09 09:54:32,2018-12-09 09:54:32,0.051s,PASSED
delay(2),Chrome 70.0.3538.110,,2018-12-09 09:54:32,2018-12-09 09:54:34,2.015s,PASSED
closeBrowser(),Chrome 70.0.3538.110,,2018-12-09 09:54:34,2018-12-09 09:54:34,0.004s,NOT_RUN
,,,,,,
Test Cases/TC-002,Chrome 70.0.3538.110,Search for Writing Tests,2018-12-09 09:54:36,2018-12-09 10:05:27,10m - 50.320s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-09 09:54:37,2018-12-09 09:54:37,0.006s,NOT_RUN
maximizeWindow(),Chrome 70.0.3538.110,,2018-12-09 09:54:37,2018-12-09 09:54:37,0.005s,NOT_RUN
"navigateToUrl(""developer.salesforce.com"")",Chrome 70.0.3538.110,,2018-12-09 09:54:37,2018-12-09 09:54:37,0.004s,NOT_RUN
PageTitle = getWindowTitle(),Chrome 70.0.3538.110,,2018-12-09 09:54:37,2018-12-09 09:54:37,0.002s,NOT_RUN
"verifyMatch(PageTitle, ""Salesforce Developers | API Documentation, Developer Forums & More"", false)",Chrome 70.0.3538.110,,2018-12-09 09:54:37,2018-12-09 09:54:37,0.003s,NOT_RUN
"if (verifyElementPresent(findTestObject(""Page_Salesforce Developers  API Doc/GDPR_Div_CloseButton""), 60, OPTIONAL))",Chrome 70.0.3538.110,,2018-12-09 09:54:37,2018-12-09 09:54:37,0.307s,PASSED
"waitForElementVisible(findTestObject(""Page_Salesforce Developers  API Doc/Search_TextBox""), 60)",Chrome 70.0.3538.110,,2018-12-09 09:54:37,2018-12-09 09:54:38,0.120s,PASSED
