Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"sendKeys(findTestObject(""Page_Salesforce Developers  API Doc/Search_TextBox""), Keys.chord(ENTER))",Chrome 70.0.3538.110,,2018-12-09 10:17:04,2018-12-09 10:17:08,3.313s,PASSED
"waitForPageLoad(30, STOP_ON_FAILURE)",Chrome 70.0.3538.110,,2018-12-09 10:17:08,2018-12-09 10:17:08,0.019s,PASSED
"verifyElementPresent(findTestObject(""Page_Search/a_Writing Tests  Apex Develope""), 30)",Chrome 70.0.3538.110,,2018-12-09 10:17:08,2018-12-09 10:17:08,0.031s,PASSED
"waitForElementClickable(findTestObject(""Page_Search/a_Writing Tests  Apex Develope""), 20)",Chrome 70.0.3538.110,,2018-12-09 10:17:08,2018-12-09 10:17:08,0.043s,PASSED
"click(findTestObject(""Page_Search/a_Writing Tests  Apex Develope""), STOP_ON_FAILURE)",Chrome 70.0.3538.110,,2018-12-09 10:17:08,2018-12-09 10:17:08,0.076s,PASSED
delay(3),Chrome 70.0.3538.110,,2018-12-09 10:17:08,2018-12-09 10:17:11,3.008s,PASSED
"scrollToElement(findTestObject(""Page_Writing Tests  Apex Developer/a_Testing Apex""), 15)",Chrome 70.0.3538.110,,2018-12-09 10:17:11,2018-12-09 10:17:11,0.223s,PASSED
"click(findTestObject(""Page_Writing Tests  Apex Developer/a_Testing Apex""), STOP_ON_FAILURE)",Chrome 70.0.3538.110,,2018-12-09 10:17:11,2018-12-09 10:17:11,0.244s,PASSED
delay(1),Chrome 70.0.3538.110,,2018-12-09 10:17:11,2018-12-09 10:17:12,1.002s,PASSED
"header = getText(findTestObject(""Page_Writing Tests  Apex Developer/h1_ContentHeader""), CONTINUE_ON_FAILURE)",Chrome 70.0.3538.110,,2018-12-09 10:17:12,2018-12-09 10:17:12,0.058s,PASSED
"scrollToElement(findTestObject(""Page_Writing Tests  Apex Developer/h1_ContentHeader""), 10, CONTINUE_ON_FAILURE)",Chrome 70.0.3538.110,,2018-12-09 10:17:12,2018-12-09 10:17:12,0.022s,PASSED
"verifyElementText(findTestObject(""Page_Writing Tests  Apex Developer/h1_ContentHeader""), ""Testing Apex"", CONTINUE_ON_FAILURE)",Chrome 70.0.3538.110,,2018-12-09 10:17:12,2018-12-09 10:17:12,0.040s,PASSED
closeBrowser(),Chrome 70.0.3538.110,,2018-12-09 10:17:12,2018-12-09 10:17:13,0.214s,PASSED
